Image #0,,,,
Detection Time,1.74658,,Keypoints,1824
Description Time,2.47341,,Matched Keypoints,0
,,,,
Image #1,,,,
Detection Time,1.5854,,Keypoints,1832
Description Time,2.16905,,Matched Keypoints,97
,,,,
Image #2,,,,
Detection Time,1.53319,,Keypoints,1810
Description Time,2.52882,,Matched Keypoints,104
,,,,
Image #3,,,,
Detection Time,1.36751,,Keypoints,1817
Description Time,2.27323,,Matched Keypoints,101
,,,,
Image #4,,,,
Detection Time,1.44296,,Keypoints,1793
Description Time,1.63796,,Matched Keypoints,98
,,,,
Image #5,,,,
Detection Time,1.51844,,Keypoints,1796
Description Time,1.77743,,Matched Keypoints,85
,,,,
Image #6,,,,
Detection Time,1.38027,,Keypoints,1788
Description Time,1.75393,,Matched Keypoints,107
,,,,
Image #7,,,,
Detection Time,1.21476,,Keypoints,1695
Description Time,1.76859,,Matched Keypoints,107
,,,,
Image #8,,,,
Detection Time,1.63169,,Keypoints,1749
Description Time,1.55269,,Matched Keypoints,100
,,,,
Image #9,,,,
Detection Time,1.22969,,Keypoints,1770
Description Time,1.78808,,Matched Keypoints,100
,,,,
Average Det Time,1.465049,,Average Kpts:,1787.4
Average Desc Time,1.972319,,Average Matched Kpts,99.8888888888889
Total Exec time (ms),3.437368,,,
