Image #0
Detection Time,19.6656,,Keypoints,1370
Description Time,2.16114,,Matched Keypoints,0

Image #1
Detection Time,19.1331,,Keypoints,1301
Description Time,1.90123,,Matched Keypoints,95

Image #2
Detection Time,14.2494,,Keypoints,1361
Description Time,1.5685,,Matched Keypoints,88

Image #3
Detection Time,15.1855,,Keypoints,1358
Description Time,2.0258,,Matched Keypoints,80

Image #4
Detection Time,15.1419,,Keypoints,1333
Description Time,2.03383,,Matched Keypoints,90

Image #5
Detection Time,13.4621,,Keypoints,1284
Description Time,1.3302,,Matched Keypoints,82

Image #6
Detection Time,12.732,,Keypoints,1322
Description Time,1.9796,,Matched Keypoints,79

Image #7
Detection Time,18.6867,,Keypoints,1366
Description Time,1.89482,,Matched Keypoints,85

Image #8
Detection Time,13.5368,,Keypoints,1389
Description Time,1.46091,,Matched Keypoints,86

Image #9
Detection Time,14.0059,,Keypoints,1339
Description Time,1.99551,,Matched Keypoints,82

