Image #0
Detection Time,142.329,,Keypoints,1438
Description Time,1.54935,,Matched Keypoints,0

Image #1
Detection Time,128.19,,Keypoints,1371
Description Time,1.52492,,Matched Keypoints,57

Image #2
Detection Time,132.695,,Keypoints,1380
Description Time,1.43289,,Matched Keypoints,63

Image #3
Detection Time,123.251,,Keypoints,1335
Description Time,1.59292,,Matched Keypoints,58

Image #4
Detection Time,141.558,,Keypoints,1305
Description Time,1.54575,,Matched Keypoints,61

Image #5
Detection Time,123.486,,Keypoints,1369
Description Time,1.71057,,Matched Keypoints,55

Image #6
Detection Time,121.44,,Keypoints,1396
Description Time,1.50831,,Matched Keypoints,52

Image #7
Detection Time,122.633,,Keypoints,1382
Description Time,1.62635,,Matched Keypoints,54

Image #8
Detection Time,124.031,,Keypoints,1463
Description Time,1.6975,,Matched Keypoints,63

Image #9
Detection Time,122.128,,Keypoints,1422
Description Time,1.60584,,Matched Keypoints,73

